Pick,Team,Player,Elapsed Time,Total Fpts,Active Fpts
1,The Big Loggers,*Gerrit Cole P | NYY ,0 sec,501.7,501.7
2,Bad News Bears,"Mookie Betts OF,SS | LAD ",33 sec,432,431
3,Ea$y Money,Mike Trout OF | LAA ,11 sec,126.5,126.5
4,Preetenders,*Liam Hendriks P | BOS ,1 min 32 sec,527,527
5,Seavy,Jose Ramirez 3B | CLE,1 min 12 sec,583.5,585.5
6,Thommy Boy,Freddie Freeman 1B | LAD,36 sec,574.5,572
7,The New Mets,Christian Yelich OF | MIL ,58 sec,304.5,303.5
8,Cleveland Rocks!,Jacob deGrom P | TEX ,8 sec,352,353
9,Donut King,Eddie Rosario OF | LAD  (Keeper),1 sec,300.5,100
10,Draft Killers,Clayton Kershaw P | LAD ,12 sec,272.3,272.3
11,Maxinators,Bryce Harper 1B | PHI,52 sec,534,533
12,Chaos Theory,Shane Bieber P | CLE ,38 sec,222.3,211.3
13,Chaos Theory,Anthony Rendon 3B | LAA ,22 sec,139.5,139.5
14,Maxinators,Aaron Nola P | PHI,47 sec,348.3,348.3
15,Draft Killers,Kenley Jansen P | LAA,33 sec,437,437
16,Donut King,*Ryan Pressly P | CHC,1 min 32 sec,366,366
17,Cleveland Rocks!,Trevor Story SS | BOS ,26 sec,440.5,441.5
18,The New Mets,Marcell Ozuna DH | ATL,50 sec,113,113
19,Thommy Boy,Jose Abreu 1B | HOU,16 sec,476.5,447
20,Seavy,Max Scherzer P | TOR ,1 min 29 sec,520.7,520.7
21,Preetenders,Nolan Arenado 3B | STL,20 sec,468,468
22,Ea$y Money,"Xander Bogaerts 2B,SS | SD",1 min 11 sec,436.5,431
23,Bad News Bears,Ronald Acuna OF | ATL  (Keeper),0 sec,352.5,352.5
24,The Big Loggers,*Aroldis Chapman P | BOS ,0 sec,375.7,375.7
25,The Big Loggers,*Patrick Corbin P | WAS,1 sec,130.3,132.3
26,Bad News Bears,Edwin Diaz P | NYM,1 min 19 sec,367.3,367.3
27,Ea$y Money,Francisco Lindor SS | NYM,49 sec,362,361
28,Preetenders,"DJ LeMahieu 1B,3B | NYY ",5 sec,377,377
29,Seavy,Corey Seager SS | TEX,15 sec,308,308
30,Thommy Boy,George Springer OF | TOR ,52 sec,285.5,255
31,The New Mets,Starling Marte OF | NYM ,1 min 13 sec,446.5,440.5
32,Cleveland Rocks!,Manny Machado 3B | SD ,14 sec,507,506
33,Donut King,*Lance Lynn P | STL,0 sec,378,377
34,Draft Killers,*Kyle Hendricks P | LAA,1 min 32 sec,255,255
35,Maxinators,Gleyber Torres 2B | DET ,10 sec,278,124.5
36,Chaos Theory,Ozzie Albies 2B | ATL,30 sec,534,532
37,Chaos Theory,Yu Darvish P | SD ,15 sec,288.7,288.7
38,Maxinators,Luis Castillo P | SEA,45 sec,221.3,8.3
39,Draft Killers,Jose Altuve 2B | HOU,0 sec,540.5,508.5
40,Donut King,*Alex Colome P | CHW,0 sec,191,-6
41,Cleveland Rocks!,Eugenio Suarez 3B | ARI,47 sec,329.5,57
42,The New Mets,Charlie Blackmon OF | COL,1 min 1 sec,390.5,390.5
43,Thommy Boy,Giancarlo Stanton DH | NYY ,60 sec,405.5,405.5
44,Seavy,Cavan Biggio 2B | KC,7 sec,143,118
45,Preetenders,Carlos Correa SS | MIN ,58 sec,470,470
46,Ea$y Money,Jose Berrios P | TOR ,44 sec,379,379
47,Bad News Bears,Luke Voit 1B | NYM,12 sec,133,10
48,The Big Loggers,Paul Goldschmidt 1B | NYY ,0 sec,525,527
49,The Big Loggers,*Jordan Hicks P | SF,1 sec,9,8.7
50,Bad News Bears,Zack Greinke P | KC,1 min 16 sec,271,271
51,Ea$y Money,*Roberto Osuna RP | ,1 min 32 sec,0,0
52,Preetenders,David Dahl OF | PHI (Keeper),1 sec,84.5,83
53,Seavy,Kenta Maeda P | DET,19 sec,160.7,158.7
54,Thommy Boy,Zach Plesac P | LAA,40 sec,203.3,203.3
55,The New Mets,Will Smith P | KC,8 sec,382,387
56,Cleveland Rocks!,Randy Arozarena OF | SEA,3 sec,420,420
57,Donut King,*Diego Castillo P | COL,1 sec,240.7,180.3
