Pick,Team,Player,Elig,Elapsed Time,Total Fpts,Active Fpts
1,Maxinators,Gerrit Cole P | NYY ,,,464.3,217.7
2,Thommy Boy,Jose Ramirez 3B | CLE,,15 sec,603,602
3,Ea$y Money,Bryce Harper 1B | PHI,,4 sec,336.5,327
4,Cleveland Rocks!,Freddie Freeman 1B | LAD,,11 sec,585,585
5,Bad News Bears,Max Scherzer P | TOR ,,12 sec,368.7,317.3
6,The New Mets,Mike Trout OF | LAA ,,10 sec,427.5,424
7,Seavy,"Mookie Betts OF,SS | LAD ",,12 sec,529,521
8,The Big Loggers,Jacob deGrom P | TEX ,,40 sec,190.7,190.7
9,Adios Pelota ,Nick Castellanos OF | PHI ,,47 sec,287,278
10,Chaos Theory,George Springer OF | TOR ,,49 sec,445,445
11,Preetenders,*Starling Marte OF | NYM ,,1 min 46 sec,356.5,356.5
12,Donut King,*Ryan Pressly P | CHC,,1 min 33 sec,365.7,365.7
13,Donut King,*Liam Hendriks P | BOS ,,1 min 31 sec,420.3,420.3
14,Preetenders,*Zack Wheeler P | PHI ,,1 min 30 sec,340,296
15,Chaos Theory,Manny Machado 3B | SD ,,14 sec,511.5,511.5
16,Adios Pelota ,Trevor Story SS | BOS ,,59 sec,273,35
17,The Big Loggers,Paul Goldschmidt 1B | NYY ,,1 min 8 sec,573.5,573.5
18,Seavy,Shane Bieber P | CLE ,,13 sec,424,424
19,The New Mets,Jose Altuve 2B | HOU,,1 min 27 sec,495.5,464
20,Bad News Bears,Ronald Acuna OF | ATL ,,17 sec,353,348
21,Cleveland Rocks!,Ozzie Albies 2B | ATL,,7 sec,175.5,168
22,Ea$y Money,Max Muncy 3B | LAD ,,6 sec,342.5,341.5
23,Thommy Boy,Brandon Woodruff P | MIL ,,60 sec,385.7,385.7
24,Maxinators,Brandon Lowe 2B | TB ,,39 sec,146.5,130
25,Maxinators,Edwin Diaz P | NYM,,36 sec,448,448
26,Thommy Boy,"Xander Bogaerts 2B,SS | SD",,32 sec,435,435
27,Ea$y Money,Francisco Lindor SS | NYM,,10 sec,513.5,513.5
28,Cleveland Rocks!,Nolan Arenado 3B | STL,,9 sec,508,508
29,Bad News Bears,Kris Bryant OF | COL,,1 min 23 sec,116.5,116.5
30,The New Mets,Aaron Nola P | PHI,,46 sec,445,446
31,Seavy,Luis Robert OF | CHW,,1 min 28 sec,274.5,274.5
32,The Big Loggers,Byron Buxton OF | MIN,,1 min 19 sec,286,286
33,Adios Pelota ,Christian Yelich OF | MIL ,,9 sec,442,442
34,Chaos Theory,Trea Turner SS | PHI (Keeper),,0 sec,529.5,529.5
35,Preetenders,*Lance Lynn P | STL,,8 min 8 sec,210.3,212.7
36,Donut King,*Adam Wainwright SP | ,,1 min 30 sec,254.3,254.3
37,Donut King,*Kenley Jansen P | LAA,,1 min 31 sec,460,462
38,Preetenders,*Aroldis Chapman P | BOS ,,9 sec,136.7,76
39,Chaos Theory,Eloy Jimenez DH | TB,,23 sec,227,196.5
40,Adios Pelota ,Mike Yastrzemski OF | SF ,,1 min 31 sec,329.5,329.5
41,The Big Loggers,Jose Berrios P | TOR ,,1 min 26 sec,223,223
42,Seavy,Matt Olson 1B | ATL  (Keeper),,0 sec,472,472
43,The New Mets,Raisel Iglesias P | ATL  (Keeper),,0 sec,232,232
44,Bad News Bears,Josh Hader P | HOU (Keeper),,0 sec,351,351
45,Cleveland Rocks!,Max Fried P | NYY ,,28 sec,402.7,361.7
46,Ea$y Money,Will Smith C | LAD ,,16 sec,400,400
47,Thommy Boy,"Whit Merrifield 2B,OF | ATL",,48 sec,328.5,270.5
48,Maxinators,Teoscar Hernandez OF | LAD,,8 sec,344,344
49,Maxinators,Yasmani Grandal C | PIT,,4 sec,131.5,49.5
50,Thommy Boy,Jose Abreu 1B | HOU,,42 sec,428,428
51,Ea$y Money,Blake Treinen P | LAD,,7 sec,18,14
52,Cleveland Rocks!,Joe Musgrove P | SD ,,11 sec,342,348
53,Bad News Bears,Rafael Devers 3B | BOS  (Keeper),,0 sec,467,467
54,The New Mets,Corey Seager SS | TEX,,30 sec,449.5,449.5
55,Seavy,Tim Anderson SS | LAA ,,58 sec,213.5,213.5
56,The Big Loggers,J.T. Realmuto C | PHI,,11 sec,427.5,427.5
57,Adios Pelota ,Anthony Rizzo 1B | NYY,,0 sec,407.5,407.5
58,Chaos Theory,Freddy Peralta P | MIL,,1 min 20 sec,143,137.3
59,Preetenders,Joey Gallo 1B | CHW (Keeper),,0 sec,203.5,203.5
60,Donut King,*Eddie Rosario OF | LAD ,,0 sec,119,86
61,Donut King,*Clayton Kershaw P | LAD ,,0 sec,341.7,341.7
62,Preetenders,Randy Arozarena OF | SEA,,23 sec,436,436
63,Chaos Theory,Alex Bregman 3B | BOS ,,49 sec,484.5,484.5
64,Adios Pelota ,Logan Webb P | SF ,,1 sec,360.7,360.7
65,The Big Loggers,Carlos Correa SS | MIN ,,36 sec,362.5,347
66,Seavy,J.D. Martinez DH | NYM ,,59 sec,349.5,349.5
67,The New Mets,Justin Turner 1B | CHC,,1 min 8 sec,359.5,358.5
68,Bad News Bears,Rhys Hoskins 1B | MIL,,52 sec,424.5,424.5
69,Cleveland Rocks!,Javier Baez SS | DET,,22 sec,318.5,318.5
70,Ea$y Money,Charlie Morton P | BAL ,,16 sec,296,296
71,Thommy Boy,Giancarlo Stanton DH | NYY ,,1 min 16 sec,296.5,296.5
72,Maxinators,Brandon Crawford SS | STL,,42 sec,237,136
73,Maxinators,Josh Donaldson 3B | ,,40 sec,293,99.5
74,Thommy Boy,Sandy Alcantara P | MIA ,,27 sec,543.3,543.3
75,Ea$y Money,Ryan McMahon 3B | COL ,,1 min 20 sec,343,343
76,Cleveland Rocks!,Yu Darvish P | SD ,,46 sec,442.3,442.3
77,Bad News Bears,"Salvador Perez 1B,C | KC  (Keeper)",,0 sec,292.5,256
78,The New Mets,Chris Bassitt P | TOR ,,1 min 4 sec,345.3,347.3
79,Seavy,Corbin Burnes P | ARI  (Keeper),,0 sec,453,449
80,The Big Loggers,"Cody Bellinger 1B,OF | NYY ",,1 min 22 sec,325,325
81,Adios Pelota ,Willson Contreras C | STL,,0 sec,331.5,331.5
82,Chaos Theory,Trevor Rogers P | BAL ,,1 min 19 sec,74,-9
83,Preetenders,Yoan Moncada 3B | LAA,,1 min 17 sec,208,123
84,Donut King,*Andrew Heaney P | PIT,,0 sec,162.3,106.7
85,Donut King,*Eric Lauer P | TOR,,0 sec,288.3,247
86,Preetenders,Willy Adames SS | SF,,48 sec,416,416
87,Chaos Theory,Walker Buehler P | BOS  (Keeper),,0 sec,143,143
88,Adios Pelota ,"Jeimer Candelario 1B,3B | CIN ",,0 sec,223.5,5
89,The Big Loggers,Brandon Nimmo OF | NYM ,,1 min 16 sec,441,441
90,Seavy,Anthony Rendon 3B | LAA ,,16 sec,106.5,102.5
91,The New Mets,Alek Manoah P | TOR ,,56 sec,439.3,439.3
92,Bad News Bears,Kolten Wong 2B | BAL,,24 sec,336,336
93,Cleveland Rocks!,Vladimir Guerrero 1B | TOR  (Keeper),,0 sec,486,486
94,Ea$y Money,Jordan Romano P | PHI (Keeper),,0 sec,411,413
95,Thommy Boy,*Giovanny Gallegos P | LAD ,,1 min 32 sec,199,75.3
96,Maxinators,Framber Valdez P | HOU ,,21 sec,474.7,477.7
97,Maxinators,Lourdes Gurriel OF | ARI,,10 sec,279.5,279.5
98,Thommy Boy,Taylor Rogers P | CIN,,1 min 32 sec,299.7,238.7
99,Ea$y Money,Justin Verlander P | SF,,27 sec,510,510
100,Cleveland Rocks!,Juan Soto OF | NYM  (Keeper),,0 sec,481,481
101,Bad News Bears,"Jake Cronenworth 1B,2B | SD",,37 sec,437.5,437.5
102,The New Mets,Jared Walsh 1B | TEX (Keeper),,0 sec,222,222
103,Seavy,Ranger Suarez P | PHI ,,18 sec,232.7,212.7
104,The Big Loggers,Dansby Swanson SS | CHC (Keeper),,0 sec,459,459
105,Adios Pelota ,Max Stassi C | SF,,0 sec,135,13
106,Chaos Theory,C.J. Cron 1B | BOS,,1 min 25 sec,403,403
107,Preetenders,"Chris Taylor 2B,3B,OF | LAD",,3 sec,222,148.5
108,Donut King,*Cal Quantrill P | MIA,,0 sec,320.7,319.7
109,Donut King,*Scott Barlow P | CIN,,1 sec,356.7,334.3
110,Preetenders,Charlie Blackmon OF | COL,,34 sec,342.5,342.5
111,Chaos Theory,Shane McClanahan P | TB,,5 sec,402.7,402.7
112,Adios Pelota ,Marco Gonzales P | PIT,,0 sec,159,159
113,The Big Loggers,Matt Chapman 3B | SF ,,1 min 17 sec,380,380
114,Seavy,Blake Snell P | LAD ,,1 min 1 sec,253,251
115,The New Mets,Marcus Semien 2B | TEX  (Keeper),,0 sec,506,506
116,Bad News Bears,Franmil Reyes DH | ,,1 min 4 sec,194.5,57.5
117,Cleveland Rocks!,Nathan Eovaldi P | TEX ,,11 sec,218.7,62
118,Ea$y Money,Frank Schwindel 1B | ,,22 sec,134,70.5
119,Thommy Boy,Alejandro Kirk C | TOR ,,1 min 3 sec,344,344
120,Maxinators,Wil Myers OF | CIN,,17 sec,149,24.5
121,Maxinators,Ian Anderson P | ATL ,,60 sec,158.3,112.3
122,Thommy Boy,Steven Matz P | STL ,,1 min 30 sec,95,48.3
123,Ea$y Money,Marcell Ozuna DH | ATL,,10 sec,269,210.5
124,Cleveland Rocks!,Jorge Soler OF | LAA ,,12 sec,160,83
125,Bad News Bears,Pablo Lopez P | MIN ,,1 min 28 sec,291,222.3
126,The New Mets,Mitch Garver C | SEA ,,14 sec,119.5,110
127,Seavy,Bryan Reynolds OF | PIT (Keeper),,0 sec,383.5,386
128,The Big Loggers,Ketel Marte 2B | ARI  (Keeper),,0 sec,327.5,327.5
129,Adios Pelota ,David Bednar P | PIT,,0 sec,244.3,221.3
130,Chaos Theory,Bo Bichette SS | TOR  (Keeper),,0 sec,468.5,468.5
131,Preetenders,Josh Bell 1B | WAS (Keeper),,0 sec,394,394
132,Donut King,Avisail Garcia OF | MIA (Keeper),,0 sec,149.5,21
133,Donut King,Jonathan India 2B | KC (Keeper),,0 sec,238,208
134,Preetenders,Jean Segura 3B | CLE,,26 sec,222,89.5
135,Chaos Theory,Yordan Alvarez OF | HOU (Keeper),,0 sec,500,500
136,Adios Pelota ,Aaron Judge OF | NYY (Keeper),,0 sec,715.5,715.5
137,The Big Loggers,Hyun-Jin Ryu P | TOR,,43 sec,37,-4.3
138,Seavy,"DJ LeMahieu 1B,3B | NYY ",,27 sec,332.5,331
139,The New Mets,Marcus Stroman P | NYY ,,1 min 8 sec,204.3,23.7
140,Bad News Bears,John Means P | CLE ,,54 sec,10,10
141,Cleveland Rocks!,Tyler Stephenson C | CIN,,37 sec,128.5,118
142,Ea$y Money,Sean Manaea P | NYM ,,1 min 5 sec,212,33.3
143,Thommy Boy,Lucas Giolito P | BOS  (Keeper),,0 sec,241.3,232.3
144,Maxinators,Eduardo Escobar 3B | TOR,,27 sec,338.5,62.5
145,Maxinators,Matt Barnes P | WAS (Keeper),,0 sec,70.3,2.3
146,Thommy Boy,Luke Voit 1B | NYM,,43 sec,289.5,18.5
147,Ea$y Money,Aaron Civale P | MIL ,,56 sec,137,25
148,Cleveland Rocks!,Max Kepler OF | PHI,,7 sec,258,259
149,Bad News Bears,Austin Meadows OF | DET (Keeper),,0 sec,69.5,6
150,The New Mets,Luis Garcia P | HOU ,,1 min 8 sec,337.7,337.7
151,Seavy,Gary Sanchez C | BAL ,,1 min 16 sec,240,240
152,The Big Loggers,Akil Baddoo OF | DET,,18 sec,95,4
153,Adios Pelota ,Drew Steckenrider RP | ,,0 sec,1.7,1.7
154,Chaos Theory,Corey Knebel P | CHW,,38 sec,135.3,92.7
