Pick,Team,Player,Elig,Elapsed Time,Total Fpts,Active Fpts
1,The Big Loggers,Jose Ramirez 3B | CLE,,,544.5,544.5
2,Cleveland Rocks!,Trea Turner SS | PHI,,3 sec,495,495
3,Chaos Theory,Freddie Freeman 1B | LAD,,4 sec,668.5,668.5
4,Team Gersch,Mike Trout OF | LAA ,,9 sec,249,249.5
5,The Underachievers,"Mookie Betts OF,SS | LAD ",,13 sec,649.5,649.5
6,Ea$y Money,Gerrit Cole P | NYY ,,1 min 17 sec,547,547
7,Donut King,Manny Machado 3B | SD ,,14 sec,398.5,398.5
8,The New Mets,Paul Goldschmidt 1B | NYY ,,21 sec,451.5,451.5
9,Maxinators,Rafael Devers 3B | BOS ,,8 sec,492,492
10,Bad News Bears,*Jacob deGrom P | TEX ,,1 min 32 sec,93.7,93.7
11,Adios Pelota ,*George Springer OF | TOR ,,1 min 31 sec,424.5,423.5
12,Thommy Boy,Nolan Arenado 3B | STL,,7 sec,396.5,396.5
13,Thommy Boy,Francisco Lindor SS | NYM,,7 sec,559.5,556.5
14,Adios Pelota ,*Ryan Pressly P | CHC,,0 sec,346.7,336
15,Bad News Bears,*Max Scherzer P | TOR ,,1 sec,340.3,340.3
16,Maxinators,Ronald Acuna OF | ATL ,,14 sec,810,810
17,The New Mets,Starling Marte OF | NYM ,,1 min 17 sec,193.5,195
18,Donut King,Aaron Nola P | PHI,,22 sec,344.3,344.3
19,Ea$y Money,Corey Seager SS | TEX,,1 min 9 sec,492,466.5
20,The Underachievers,Matt Olson 1B | ATL ,,14 sec,662.5,662.5
21,Team Gersch,"Jazz Chisholm 3B,OF | NYY ",,23 sec,287.5,264.5
22,Chaos Theory,Alex Bregman 3B | BOS ,,5 sec,538.5,538.5
23,Cleveland Rocks!,Ozzie Albies 2B | ATL,,1 min 8 sec,527.5,527.5
24,The Big Loggers,"Xander Bogaerts 2B,SS | SD",,1 min 17 sec,426,426
25,The Big Loggers,J.T. Realmuto C | PHI,,11 sec,366,366
26,Cleveland Rocks!,Anthony Rizzo 1B | NYY,,1 min 16 sec,212.5,212.5
27,Chaos Theory,Brandon Woodruff P | MIL ,,22 sec,203,195
28,Team Gersch,Randy Arozarena OF | SEA,,36 sec,456,456
29,The Underachievers,*Zack Wheeler P | PHI ,,1 min 32 sec,403,405
30,Ea$y Money,Byron Buxton OF | MIN,,1 min 31 sec,223.5,223.5
31,Donut King,Josh Hader P | HOU,,24 sec,373.7,373.7
32,The New Mets,*Ryan Helsley P | STL,,1 min 33 sec,177.3,94
33,Maxinators,"Salvador Perez 1B,C | KC ",,12 sec,319.5,319.5
34,Bad News Bears,*Framber Valdez P | HOU ,,0 sec,452,453
35,Adios Pelota ,Logan Webb P | SF  (Keeper),,0 sec,391,391
36,Thommy Boy,Jose Abreu 1B | HOU,,23 sec,333,32.5
37,Thommy Boy,Sandy Alcantara P | MIA  (Keeper),,0 sec,261.3,261.3
38,Adios Pelota ,*Jordan Romano P | PHI,,1 sec,384,87
39,Bad News Bears,*Kris Bryant OF | COL,,0 sec,172,0
40,Maxinators,Yu Darvish P | SD ,,10 sec,189.7,111.3
41,The New Mets,*Pete Fairbanks P | TB ,,1 sec,279.7,48.3
42,Donut King,Corbin Carroll OF | ARI ,,25 sec,589.5,576
43,Ea$y Money,Shane Bieber P | CLE ,,20 sec,188,161
44,The Underachievers,Corbin Burnes P | ARI  (Keeper),,0 sec,359.3,359.3
45,Team Gersch,Devin Williams P | NYY,,2 min 50 sec,476.3,476.3
46,Chaos Theory,Daulton Varsho OF | TOR ,,4 sec,332.5,332.5
47,Cleveland Rocks!,Nick Castellanos OF | PHI ,,2 sec,432.5,432.5
48,The Big Loggers,Max Fried P | NYY ,,1 min 15 sec,223.3,223.3
49,The Big Loggers,Luis Robert OF | CHW,,1 min 29 sec,448,448
50,Cleveland Rocks!,Vladimir Guerrero 1B | TOR  (Keeper),,0 sec,457,457
51,Chaos Theory,Will Smith C | LAD ,,6 sec,390.5,390.5
52,Team Gersch,Shane McClanahan P | TB,,1 min 19 sec,273,273
53,The Underachievers,Tim Anderson SS | LAA ,,17 sec,200,149
54,Ea$y Money,Eloy Jimenez DH | TB,,25 sec,286.5,253
55,Donut King,Teoscar Hernandez OF | LAD,,8 sec,389.5,389.5
56,The New Mets,Alek Manoah P | TOR  (Keeper),,0 sec,20.7,14.3
57,Maxinators,Blake Snell P | LAD ,,16 sec,427,407
58,Bad News Bears,*Clayton Kershaw P | LAD ,,0 sec,326.3,326.3
59,Adios Pelota ,*Brandon Nimmo OF | NYM ,,0 sec,450.5,450
60,Thommy Boy,*David Robertson P | TEX,,1 min 33 sec,255.7,216
61,Thommy Boy,Tommy Edman OF | LAD ,,55 sec,356,326
62,Adios Pelota ,*Jhoan Duran P | MIN ,,1 sec,312.7,312.7
63,Bad News Bears,"Jake Cronenworth 1B,2B | SD (Keeper)",,0 sec,286.5,286.5
64,Maxinators,Dansby Swanson SS | CHC,,13 sec,398,398
65,The New Mets,Carlos Correa SS | MIN ,,37 sec,305.5,305.5
66,Donut King,Willy Adames SS | SF,,34 sec,367.5,251
67,Ea$y Money,Justin Verlander P | SF (Keeper),,0 sec,311.7,311.7
68,The Underachievers,Willson Contreras C | STL,,15 sec,327.5,328.5
69,Team Gersch,Max Muncy 3B | LAD ,,1 min 17 sec,459.5,459.5
70,Chaos Theory,Triston McKenzie P | CLE ,,28 sec,-1,13
