Pick,Team,Player,Elig,Elapsed Time,Total Fpts,Active Fpts
1,Ea$y Money,Ronald Acuna OF | ATL ,,,151.5,151.5
2,Cleveland Rocks!,"Mookie Betts OF,SS | LAD ",,3 sec,424.5,424.5
3,The Big Loggers,Freddie Freeman 1B | LAD,,8 sec,485,485
4,The New Mets,Matt Olson 1B | ATL ,,21 sec,438,438
5,Bad News Bears,Jose Ramirez 3B | CLE,,31 sec,653,653
6,Team Gersch,*Josh Hader P | HOU,,1 min 33 sec,444,444
7,Thommy Boy,Corey Seager SS | TEX,,5 min 5 sec,386,386
8,Chaos Theory,Vladimir Guerrero 1B | TOR ,,2 sec,559,553.5
9,Donut King,Corbin Carroll OF | ARI  (Keeper),,1 sec,532,532
10,Maxinators,Ozzie Albies 2B | ATL,,7 sec,274.5,249.5
11,Adios Pelota ,*Framber Valdez P | HOU ,,1 min 30 sec,388.6666667,388.6666667
12,The Underachievers,Trea Turner SS | PHI,,12 sec,403,403
13,The Underachievers,Mike Trout OF | LAA ,,1 min 13 sec,104.5,104.5
14,Adios Pelota ,*Pete Fairbanks P | TB ,,1 sec,246.6666667,246.6666667
15,Maxinators,Alex Bregman 3B | BOS ,,25 sec,415,415
16,Donut King,*Francisco Lindor SS | NYM,,1 sec,566.5,556.5
17,Chaos Theory,Corbin Burnes P | ARI ,,19 sec,396.6666667,396.6666667
18,Thommy Boy,Rafael Devers 3B | BOS ,,1 min 5 sec,430.5,431
19,Team Gersch,*Zac Gallen P | ARI ,,0 sec,311,311
20,Bad News Bears,Zack Wheeler P | PHI ,,42 sec,493,493
21,The New Mets,Paul Goldschmidt 1B | NYY ,,44 sec,347.5,347.5
22,The Big Loggers,Manny Machado 3B | SD ,,60 sec,441,440
23,Cleveland Rocks!,Nolan Arenado 3B | STL,,51 sec,367,365
24,Ea$y Money,Logan Webb P | SF ,,1 min 17 sec,353.3333333,353.3333333
25,Ea$y Money,Max Fried P | NYY ,,1 min 21 sec,336.6666667,336.6666667
26,Cleveland Rocks!,Juan Soto OF | NYM  (Keeper),,0 sec,638.5,638.5
27,The Big Loggers,Tyler Glasnow P | LAD ,,1 min 25 sec,317,318
28,The New Mets,Luis Robert OF | CHW,,5 sec,222.5,16.5
29,Bad News Bears,Bryan Reynolds OF | PIT,,1 min 12 sec,455,455
30,Team Gersch,*Jose Alvarado P | PHI ,,0 sec,167.3333333,38.33333333
31,Thommy Boy,Freddy Peralta P | MIL,,52 sec,320.3333333,320.3333333
32,Chaos Theory,C.J. Abrams SS | WAS ,,7 sec,416,416
33,Donut King,*George Springer OF | TOR ,,1 sec,355.5,255
34,Maxinators,Aaron Nola P | PHI,,12 sec,399.6666667,399.6666667
35,Adios Pelota ,Jhoan Duran P | MIN  (Keeper),,0 sec,274.6666667,274.6666667
36,The Underachievers,Christian Walker 1B | HOU ,,1 min 13 sec,376.5,371
37,The Underachievers,Gunnar Henderson SS | BAL  (Keeper),,0 sec,592.5,592.5
38,Adios Pelota ,Christian Yelich OF | MIL  (Keeper),,0 sec,273,273
39,Maxinators,Josh Naylor 1B | ARI ,,20 sec,454.5,454.5
40,Donut King,*Brandon Nimmo OF | NYM ,,0 sec,439,434
41,Chaos Theory,Seiya Suzuki OF | CHC,,1 min 2 sec,411,411
42,Thommy Boy,Byron Buxton OF | MIN,,52 sec,294.5,243
43,Team Gersch,*Nathan Eovaldi P | TEX ,,0 sec,319.3333333,73.66666667
44,Bad News Bears,*Gleyber Torres 2B | DET ,,1 min 31 sec,364,364
45,The New Mets,Marcus Semien 2B | TEX  (Keeper),,0 sec,447.5,447.5
46,The Big Loggers,Will Smith C | LAD ,,43 sec,358.5,358.5
47,Cleveland Rocks!,Bo Bichette SS | TOR ,,8 sec,148,145
48,Ea$y Money,Yoshinobu Yamamoto P | LAD ,,23 sec,214,178
49,Ea$y Money,Bryce Harper 1B | PHI (Keeper),,0 sec,478,478
50,Cleveland Rocks!,Randy Arozarena OF | SEA,,7 sec,383.5,383.5
51,The Big Loggers,Blake Snell P | LAD ,,35 sec,317,288.3333333
52,The New Mets,Ryan Helsley P | STL,,1 min 23 sec,549.6666667,549.6666667
53,Bad News Bears,Raisel Iglesias P | ATL  (Keeper),,1 sec,443.6666667,442
54,Team Gersch,*Adbert Alzolay P | NYM,,0 sec,14.66666667,14.66666667
55,Thommy Boy,Logan Gilbert P | SEA ,,1 min 14 sec,413.3333333,413.3333333
56,Chaos Theory,J.T. Realmuto C | PHI,,39 sec,236,115
57,Donut King,*Cedric Mullins OF | BAL ,,0 sec,357,54.5
58,Maxinators,"Oneil Cruz OF,SS | PIT ",,39 sec,389.5,389.5
59,Adios Pelota ,Jung Hoo Lee OF | SF,,2 sec,74.5,74.5
60,The Underachievers,Nolan Jones OF | COL ,,1 min 15 sec,128.5,103.5
61,The Underachievers,Evan Carter OF | TEX,,57 sec,88.5,88.5
62,Adios Pelota ,Aaron Judge OF | NYY (Keeper),,0 sec,728.5,728.5
63,Maxinators,"Jazz Chisholm 3B,OF | NYY ",,6 sec,453,451.5
64,Donut King,*Ketel Marte 2B | ARI ,,0 sec,499,500
65,Chaos Theory,Yordan Alvarez OF | HOU (Keeper),,1 sec,536.5,536.5
66,Thommy Boy,"Xander Bogaerts 2B,SS | SD",,1 min 12 sec,256.5,94
67,Team Gersch,*James Paxton P | BOS,,0 sec,153.6666667,153.6666667
68,Bad News Bears,*Jose Leclerc P | ATH,,1 min 30 sec,129.3333333,6
69,The New Mets,Yu Darvish P | SD ,,1 min 28 sec,176.3333333,22.33333333
70,The Big Loggers,"Luis Arraez 1B,2B | SD",,8 sec,393.5,393.5
71,Cleveland Rocks!,Bobby Miller P | LAD ,,30 sec,10,19.33333333
72,Ea$y Money,Justin Steele P | CHC ,,52 sec,241.3333333,235
73,Ea$y Money,Jose Altuve 2B | HOU (Keeper),,1 sec,451.5,451.5
74,Cleveland Rocks!,Joshua Lowe OF | TB ,,3 sec,226.5,3.5
75,The Big Loggers,Nick Castellanos OF | PHI ,,29 sec,404.5,404.5
76,The New Mets,Zach Eflin P | BAL ,,22 sec,260.6666667,260.6666667
77,Bad News Bears,Willson Contreras C | STL,,58 sec,234,136.5
78,Team Gersch,*Justin Verlander P | SF,,0 sec,88.66666667,68.66666667
79,Thommy Boy,Triston Casas 1B | BOS ,,10 sec,143.5,88.5
80,Chaos Theory,Spencer Torkelson 1B | DET ,,21 sec,188.5,67
81,Donut King,*J.P. Crawford SS | SEA,,0 sec,239,133
82,Maxinators,Merrill Kelly P | ARI ,,14 sec,134.3333333,61.33333333
83,Adios Pelota ,*Jordan Romano P | PHI,,0 sec,69.33333333,
84,The Underachievers,David Bednar P | PIT,,22 sec,197.3333333,185
