HQID,MLBAMID,Player,Age,Bats,Team,Lg,Pos,LY5,LY10,LY15,LY20,LIMA,"MM Code",MM,ADP,"Min ADP","Max ADP",DL,12$,15$,PA,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,OPS,BB%,ct%,Eye,h%,PX,SPD,RSpd,G%,L%,F%,xBA,BA,RC/G,RAR,BPX
6791,682928,"Abrams, CJ",24,L,WSH,NL,SS,6,6,6,6,B,"2425 AAB",65,48.88,20,77,,18,18,646,606,85,146,30,4,18,68,39,141,38,9,.242,.287,.397,0.684,6%,0.77,0.28,29%,96,97,112,44%,16%,40%,.240,35%,3.8,-6.9,96
7815,677800,"Abreu, Wilyer",25,L,BOS,AL,RF,o9,o9,o9,o9,B,"4223 AAB",33,300.93,163,416,20,5,5,442,395,58,97,25,0,15,60,46,123,8,2,.246,.324,.432,0.757,10%,0.69,0.37,32%,128,82,70,36%,20%,44%,.234,25%,4.7,8.3,89
5588,660670,"Acuna Jr., Ronald",27,R,ATL,NL,RF,9o,9o,9o,9o,D+,"3445 FAF",80,28.52,1,114,136,23,23,544,475,99,126,24,2,20,61,68,122,32,9,.266,.357,.458,0.815,12%,0.74,0.56,32%,118,111,117,49%,20%,31%,.265,40%,5.6,23.4,185
7855,682668,"Acuna, Luisangel",23,R,NYM,NL,SS,6,6,6,6,D,"1501 AAF",7,398.85,228,575,,-7,-7,238,224,29,53,8,1,3,19,13,48,14,4,.238,.279,.346,0.625,5%,0.78,0.27,29%,55,118,130,44%,16%,41%,.216,30%,3.0,-8.1,21
5053,642715,"Adames, Willy",29,R,SF,NL,SS,6,6,6,6,B,"4225 BAB",65,81.39,24,127,37,16,16,612,552,79,138,30,0,24,89,59,151,11,2,.252,.322,.443,0.765,9%,0.73,0.39,30%,122,72,64,33%,20%,47%,.239,30%,4.8,9.8,110
6082,666176,"Adell, Jo",25,R,LAA,AL,RF,o9,o9,o9,o9,C+,"4215 CAB",60,289.24,202,444,75,7,7,544,504,62,114,21,2,24,67,39,175,13,7,.227,.282,.423,0.705,7%,0.65,0.22,30%,134,88,72,40%,17%,43%,.223,30%,3.8,-2.9,39
4674,605113,"Ahmed, Nick",34,R,TEX,AL,SS,6,6,6,6,F,"0200 FFF",0,,,,186,-17,-17,68,63,5,14,1,0,0,6,4,17,1,0,.231,.269,.312,0.581,5%,0.72,0.24,30%,15,88,69,46%,20%,33%,.183,20%,2.2,-3.9,
4933,593643,"Alberto, Hanser",32,R,FA,,2B,4,4,4,4,F,"1020 AFF",0,,,,17,-17,-17,68,65,6,14,3,0,1,8,2,10,,,.226,.239,.357,0.596,2%,0.84,0.20,24%,59,78,,44%,20%,36%,.240,45%,2.4,-3.0,53
5173,645277,"Albies, Ozzie",28,B,ATL,NL,2B,4,4,4,4,B+,"3245 FAF",70,58.44,24,88,196,15,15,578,542,77,138,33,1,21,83,35,94,11,2,.256,.300,.443,0.743,6%,0.83,0.37,27%,107,71,65,39%,18%,43%,.264,45%,4.5,9.5,185
7914,682634,"Alcantara, Kevin",22,R,CHI,NL,OF,o,o,o,o,F,"1200 AFF",0,491.45,441,750,,-16,-16,68,62,7,15,2,,1,7,5,19,1,0,.254,.298,.382,0.681,7%,0.68,0.26,33%,59,86,68,44%,20%,36%,.198,15%,3.3,-1.3,
