HQID,MLBAMID,Player,Age,Throws,Tm,LG,LIMA,"MM Code",MM,ADP,"Min ADP","Max ADP",DL,W,L,G,QS,SV,BS,HD,12$,15$,IP,H,ER,HR,BB,K,ERA,WHIP,BF/G,K9,K%,BB/9,BB%,Cmd,K-BB%,HR9,OOB,xERA,G%,L%,F%,H%,S%,RAR,BPX
7179,671096,"Abbott, Andrew",25,L,CIN,NL,B+,"1203 BBA",21,457.64,227,703,26,9,7,28,9,,,,-4,-4,145.0,139,67,22,58,131,4.16,1.36,21.6,8.1,21%,3.6,9%,2.3,12.1%,1.4,.325,4.76,33%,18%,50%,29%,74%,-11.9,68.5726
6034,650556,"Abreu, Bryan",27,R,HOU,AL,A,"5511 ABA",34,455.59,294,608,,4,4,70,,6,5,29,4,4,73.0,54,23,6,30,96,2.84,1.15,4.1,11.8,33%,3.7,10%,3.2,22.8%,0.7,.290,3.15,43%,19%,38%,30%,78%,8.5,153.0397
5875,592094,"Adam, Jason",33,R,SD,NL,B,"5410 BBA",15,389.19,197,586,29,5,4,67,,5,4,23,6,6,65.0,44,21,6,20,75,2.91,0.98,3.7,10.4,30%,2.8,8%,3.8,22.2%,0.8,.259,3.20,43%,17%,40%,26%,74%,7.2,151.7057
6520,669211,"Akin, Keegan",29,L,BAL,AL,A,"3400 DCC",0,498.15,468,750,55,2,2,43,,,1,11,-6,-6,65.0,57,28,10,18,73,3.88,1.15,6.0,10.1,28%,2.5,6%,4.1,21.3%,1.4,.290,3.60,39%,17%,45%,29%,72%,4.0,150.2234
6279,660896,"Alcala, Jorge",29,R,MIN,AL,A+,"2200 FDB",0,452.26,471,742,318,4,4,46,,,2,14,-6,-6,51.0,43,22,8,15,48,3.88,1.14,4.4,8.5,23%,2.6,7%,3.2,16.4%,1.4,.287,4.11,36%,15%,48%,26%,72%,-0.1,108.2178
5698,645261,"Alcantara, Sandy",29,R,MIA,NL,B+,"3203 FAB",33,164.63,84,269,198,7,7,24,11,,,,11,11,152.0,132,55,15,41,135,3.26,1.14,25.1,8.0,22%,2.4,6%,3.3,15.6%,0.9,.287,3.57,51%,17%,32%,28%,74%,9.9,122.2425
8077,691951,"Aldegheri, Samuel",23,L,LAA,AL,C,"0300 BFF",0,,,,16,1,1,7,2,,,,-17,-17,29.0,32,16,5,17,29,4.97,1.69,18.7,9.0,22%,5.3,13%,1.7,9.2%,1.6,.375,5.17,34%,18%,48%,33%,75%,-3.8,35.8484
5023,518397,"Alexander, Scott",35,L,COL,NL,C,"4110 FFF",10,,,,99,1,4,67,,1,,7,-8,-8,58.0,52,21,6,24,49,3.26,1.31,3.6,7.6,20%,3.7,10%,2.0,10.4%,0.9,.317,3.45,62%,20%,18%,28%,78%,4.6,87.0668
6075,641302,"Alexander, Tyler",30,L,MIL,NL,B,"1100 FCB",0,452.67,499,715,138,3,2,17,,,,,-12,-12,58.0,60,30,11,14,43,4.66,1.28,14.0,6.7,18%,2.2,5%,3.1,12.2%,1.7,.311,4.80,32%,19%,50%,28%,69%,-5.0,81.4912
6914,671106,"Allen, Logan",26,L,CLE,AL,C+,"1200 ACB",0,457.23,385,749,10,2,2,5,1,,,,-14,-14,22.0,23,12,4,9,19,4.91,1.45,18.8,7.8,20%,3.7,9%,2.1,10.6%,1.6,.340,4.49,43%,18%,39%,30%,71%,-1.1,70.1232
