MLBAMID,Name,Team,Rank,Position,Age,Bats,Throws,ETA,Future Role,Grade
701350,Roman Anthony,BOS,1,OF,21,L,R,2025,Starting CF,9C
805805,Walker Jenkins,MIN,2,OF,20,L,R,2026,Starting OF,9B
686611,Dylan Crews,WSH,3,OF,23,R,R,2024,Starting OF,9A
695549,Jackson Jobe,DET,4,SP,22,R,R,2024,#1 starter,9C
691723,Coby Mayo,BAL,5,3B,23,R,R,2024,Starting 1B,8B
691176,Jasson Domínguez,NYY,6,OF,22,B,R,2023,Starting OF,9C
691783,Jordan Lawlar,ARI,7,SS,22,R,R,2023,Starting SS,9B
806964,Sebastian Walcott,TEX,8,SS,19,R,R,2026,Starting 3B,9C
691725,Andrew Painter,PHI,9,SP,22,R,R,2025,#1 starter,9C
683953,Travis Bazzana,CLE,10,2B,22,L,R,2026,Starting 2B,9C
696149,Bubba Chandler,PIT,11,SP,22,B,R,2025,#2 starter,9C
694212,Samuel Basallo,BAL,12,C/1B,20,L,R,2025,Starting 1B,8B
702273,Noah Schultz,CWS,13,SP,21,L,L,2025,#1 starter,9C
805811,Bryce Eldridge,SF,14,1B,20,L,R,2026,Starting 1B,9C
691785,Marcelo Mayer,BOS,15,SS,22,L,R,2025,Starting SS,8B
692225,Kristian Campbell,BOS,16,2B/OF,23,R,R,2025,Starting OF,8C
703601,Max Clark,DET,17,OF,20,L,L,2026,Starting CF,9D
806068,Colt Emerson,SEA,18,SS,19,L,R,2027,Starting SS,8B
691181,Emmanuel Rodriguez,MIN,19,OF,22,L,L,2025,Starting OF,8B
815888,Leodalis De Vries,SD,20,SS,18,B,R,2028,Starting SS,9D
807713,Matt Shaw,CHI,21,3B,23,R,R,2025,Starting 2B,8A
700246,Carson Williams,TB,22,SS,22,R,R,2025,Starting SS,9C
802139,JJ Wetherholt,STL,23,SS,22,L,R,2026,Starting 2B,9C
695505,Chase Burns,CIN,24,SP,22,R,R,2026,#1 starter,9D
805795,Aidan Miller,PHI,25,SS,21,R,R,2026,Starting SS,9C
695506,Jac Caglianone,KC,26,1B,22,L,L,2026,Starting 1B,9D
695076,Rhett Lowder,CIN,27,SP,23,R,R,2024,#2 starter,8A
806258,Thomas White,MIA,28,SP,20,L,L,2026,#1 starter,9C
687221,Dalton Rushing,LA,29,C/OF,24,L,R,2025,Starting OF,9D
800050,Chase DeLauter,CLE,30,OF,23,L,L,2025,Starting OF,8B
801403,Chase Dollander,COL,31,SP,23,R,R,2025,#2 starter,9D
695657,Colson Montgomery,CWS,32,SS,23,L,R,2025,Starting SS,9C
809707,Charlie Condon,COL,33,3B/OF,22,R,R,2027,Starting OF,9D
701762,Nick Kurtz,ATH,34,1B,22,L,L,2026,Starting 1B,9D
805779,Jacob Wilson,ATH,35,SS,23,R,R,2024,Starting SS,8B
687273,Quinn Mathews,STL,36,SP,24,L,L,2025,#3 starter,8B
805808,Kevin McGonigle,DET,37,2B/SS,20,L,R,2026,Starting 2B,8B
677958,Kumar Rocker,TEX,38,SP,25,R,R,2024,#2 starter,9C
691019,Kyle Teel,CWS,39,C,23,L,R,2025,Starting C,8C
696146,Hagen Smith,CWS,40,SP,21,L,L,2026,#2 starter,9C
800543,Josue De Paula,LA,41,OF,20,L,L,2026,Starting OF,9D
702518,Jett Williams,NYM,42,SS/OF,21,R,R,2025,Starting CF,9D
683357,Owen Caissie,CHI,43,OF,22,L,R,2025,Starting OF,8D
804606,Konnor Griffin,PIT,44,SS,19,R,R,2027,Starting SS,9D
800060,Xavier Isaac,TB,45,1B/OF,21,L,L,2026,Starting 1B,9D
695731,Braden Montgomery,CWS,46,OF,22,B,R,2027,Starting OF,8C
690990,Cade Horton,CHI,47,SP,23,R,R,2025,#2 starter,9D
701358,Cam Smith,HOU,48,3B,22,R,R,2026,Starting 3B,8C
806958,Felnin Celesten,SEA,49,SS,19,B,R,2028,Starting SS,9D
815908,Jesus Made,MIL,50,SS,18,B,R,2028,Starting SS,9E
694208,Moises Ballesteros,CHI,51,C,21,L,R,2025,Starting C,9D
